11 30 2015 02 20  -6.2  20.9
11 30 2015 02 21  -6.2  20.9
11 30 2015 02 22  -6.2  20.9
11 30 2015 02 23  -6.1  21.0
11 30 2015 02 24  -6.1  21.0
11 30 2015 02 25  -6.1  21.0
11 30 2015 02 26  -6.2  20.9
11 30 2015 02 27  -6.2  20.9
11 30 2015 02 28  -6.2  20.9
11 30 2015 02 29  -6.1  21.0
11 30 2015 02 30  -6.1  21.0
11 30 2015 02 31  -6.1  21.1
11 30 2015 02 32  -6.1  21.0
11 30 2015 02 33  -6.1  21.1
11 30 2015 02 34  -6.1  21.1
11 30 2015 02 35  -6.1  21.1
11 30 2015 02 36  -6.1  21.1
11 30 2015 02 37  -6.1  21.1
11 30 2015 02 38  -6.0  21.2
11 30 2015 02 39  -6.1  21.1
11 30 2015 02 40  -6.1  21.1
11 30 2015 02 41  -6.0  21.2
11 30 2015 02 42  -6.0  21.2
11 30 2015 02 43  -6.0  21.2
11 30 2015 02 44  -6.0  21.2
11 30 2015 02 45  -6.0  21.2
11 30 2015 02 46  -6.0  21.2
11 30 2015 02 47  -6.0  21.2
11 30 2015 02 48  -5.9  21.3
11 30 2015 02 49  -6.0  21.2
11 30 2015 02 50  -5.9  21.4
11 30 2015 02 51  -5.9  21.3
11 30 2015 02 52  -5.9  21.3
11 30 2015 02 53  -5.9  21.3
11 30 2015 02 54  -5.9  21.4
11 30 2015 02 55  -5.9  21.4
11 30 2015 02 56  -5.9  21.3
11 30 2015 02 57  -5.9  21.3
11 30 2015 02 58  -5.9  21.4
11 30 2015 02 59  -5.9  21.4
11 30 2015 03 00  -5.9  21.4
11 30 2015 03 01  -5.9  21.4
11 30 2015 03 02  -5.9  21.4
11 30 2015 03 03  -5.9  21.3
11 30 2015 03 04  -5.8  21.5
11 30 2015 03 05  -5.9  21.3
11 30 2015 03 06  -5.9  21.4
11 30 2015 03 07  -5.9  21.4
11 30 2015 03 08  -5.9  21.4
11 30 2015 03 09  -5.9  21.4
11 30 2015 03 10  -5.9  21.4
11 30 2015 03 11  -5.9  21.4
11 30 2015 03 12  -5.8  21.5
11 30 2015 03 13  -5.9  21.4
11 30 2015 03 14  -5.9  21.4
11 30 2015 03 15  -5.8  21.5
11 30 2015 03 16  -5.8  21.5
11 30 2015 03 17  -5.8  21.5
11 30 2015 03 18  -5.8  21.5
11 30 2015 03 19  -5.8  21.6
11 30 2015 03 20  -5.8  21.5
11 30 2015 03 21  -5.8  21.5
11 30 2015 03 22  -5.8  21.6
11 30 2015 03 23  -5.8  21.5
11 30 2015 03 24  -5.8  21.5
11 30 2015 03 25  -5.8  21.5
11 30 2015 03 26  -5.9  21.4
11 30 2015 03 27  -5.9  21.4
11 30 2015 03 28  -5.8  21.5
11 30 2015 03 29  -5.9  21.4
11 30 2015 03 30  -5.9  21.4
11 30 2015 03 31  -5.8  21.5
11 30 2015 03 32  -5.8  21.5
11 30 2015 03 33  -5.8  21.5
11 30 2015 03 34  -5.8  21.5
11 30 2015 03 35  -5.8  21.5
11 30 2015 03 36  -5.8  21.6
11 30 2015 03 37  -5.8  21.5
11 30 2015 03 38  -5.8  21.5
11 30 2015 03 39  -5.8  21.6
11 30 2015 03 40  -5.8  21.5
11 30 2015 03 41  -5.8  21.6
11 30 2015 03 42  -5.8  21.5
11 30 2015 03 43  -5.8  21.6
11 30 2015 03 44  -5.8  21.6
11 30 2015 03 45  -5.8  21.6
11 30 2015 03 46  -5.8  21.6
11 30 2015 03 47  -5.8  21.5
11 30 2015 03 48  -5.8  21.6
11 30 2015 03 49  -5.8  21.6
11 30 2015 03 50  -5.8  21.5
11 30 2015 03 51  -5.8  21.6
11 30 2015 03 52  -5.7  21.8
11 30 2015 03 53  -5.7  21.8
11 30 2015 03 54  -5.7  21.8
11 30 2015 03 55  -5.7  21.8
11 30 2015 03 56  -5.8  21.6
11 30 2015 03 57  -5.7  21.8
11 30 2015 03 58  -5.8  21.6
11 30 2015 03 59  -5.7  21.8
11 30 2015 04 00  -5.7  21.8
11 30 2015 04 01  -5.7  21.8
11 30 2015 04 02  -5.6  21.9
11 30 2015 04 03  -5.6  21.9
11 30 2015 04 04  -5.7  21.8
11 30 2015 04 05  -5.7  21.8
11 30 2015 04 06  -5.6  21.9
11 30 2015 04 07  -5.6  21.9
11 30 2015 04 08  -5.6  21.9
11 30 2015 04 09  -5.6  22.0
11 30 2015 04 10  -5.6  22.0
11 30 2015 04 11  -5.6  22.0
11 30 2015 04 12  -5.6  22.0
11 30 2015 04 13  -5.5  22.1
11 30 2015 04 14  -5.6  22.0
11 30 2015 04 15  -5.6  22.0
