11 30 2015 01 56  -6.4  20.4 86.5
11 30 2015 01 57  -6.4  20.4 86.5
11 30 2015 01 58  -6.4  20.5 86.4
11 30 2015 01 59  -6.4  20.5 86.4
11 30 2015 02 00  -6.4  20.5 86.3
11 30 2015 02 01  -6.4  20.5 86.3
11 30 2015 02 02  -6.4  20.6 86.2
11 30 2015 02 03  -6.3  20.6 86.2
11 30 2015 02 04  -6.3  20.6 86.2
11 30 2015 02 05  -6.3  20.7 86.2
11 30 2015 02 06  -6.3  20.7 85.9
11 30 2015 02 07  -6.3  20.7 85.8
11 30 2015 02 08  -6.3  20.7 85.7
11 30 2015 02 09  -6.3  20.8 85.7
11 30 2015 02 10  -6.3  20.8 85.6
11 30 2015 02 11  -6.2  20.8 85.6
11 30 2015 02 12  -6.2  20.8 85.5
11 30 2015 02 13  -6.3  20.8 85.4
11 30 2015 02 14  -6.3  20.8 85.4
11 30 2015 02 15  -6.2  20.8 85.4
11 30 2015 02 16  -6.2  20.8 85.4
11 30 2015 02 17  -6.2  20.8 85.4
11 30 2015 02 18  -6.2  20.8 85.4
11 30 2015 02 19  -6.2  20.8 85.4
11 30 2015 02 20  -6.2  20.8 85.4
11 30 2015 02 21  -6.2  20.8 85.4
11 30 2015 02 22  -6.2  20.8 85.3
11 30 2015 02 23  -6.2  20.8 85.4
11 30 2015 02 24  -6.2  20.8 85.4
11 30 2015 02 25  -6.2  20.9 85.5
11 30 2015 02 26  -6.2  20.9 85.5
11 30 2015 02 27  -6.2  20.9 85.3
11 30 2015 02 28  -6.2  20.9 85.3
11 30 2015 02 29  -6.2  20.9 85.4
11 30 2015 02 30  -6.1  20.9 85.5
11 30 2015 02 31  -6.1  21.0 85.7
11 30 2015 02 32  -6.1  21.0 85.7
11 30 2015 02 33  -6.1  21.0 85.8
11 30 2015 02 34  -6.1  21.0 85.7
11 30 2015 02 35  -6.1  21.0 85.7
11 30 2015 02 36  -6.1  21.0 85.8
11 30 2015 02 37  -6.1  21.0 85.7
11 30 2015 02 38  -6.1  21.1 85.9
11 30 2015 02 39  -6.1  21.1 85.9
11 30 2015 02 40  -6.1  21.1 85.7
11 30 2015 02 41  -6.1  21.1 85.9
11 30 2015 02 42  -6.1  21.1 86.0
11 30 2015 02 43  -6.1  21.1 85.9
11 30 2015 02 44  -6.1  21.1 85.8
11 30 2015 02 45  -6.0  21.1 86.0
11 30 2015 02 46  -6.0  21.1 85.7
11 30 2015 02 47  -6.1  21.1 84.9
11 30 2015 02 48  -6.0  21.1 84.8
11 30 2015 02 49  -6.0  21.2 84.9
11 30 2015 02 50  -6.0  21.2 85.1
11 30 2015 02 51  -6.0  21.2 85.2
11 30 2015 02 52  -6.0  21.2 85.2
11 30 2015 02 53  -6.0  21.3 85.2
11 30 2015 02 54  -6.0  21.3 84.9
11 30 2015 02 55  -6.0  21.3 84.8
11 30 2015 02 56  -6.0  21.3 84.9
11 30 2015 02 57  -6.0  21.3 84.5
11 30 2015 02 58  -6.0  21.3 84.4
11 30 2015 02 59  -5.9  21.3 84.6
11 30 2015 03 00  -6.0  21.3 84.6
11 30 2015 03 01  -6.0  21.3 84.5
11 30 2015 03 02  -6.0  21.3 84.5
11 30 2015 03 03  -6.0  21.3 84.5
11 30 2015 03 04  -6.0  21.3 84.5
11 30 2015 03 05  -6.0  21.3 84.5
11 30 2015 03 06  -6.0  21.3 84.6
11 30 2015 03 07  -6.0  21.3 84.4
11 30 2015 03 08  -6.0  21.3 84.5
11 30 2015 03 09  -5.9  21.3 84.7
11 30 2015 03 10  -5.9  21.3 84.9
11 30 2015 03 11  -5.9  21.4 85.1
11 30 2015 03 12  -5.9  21.4 85.2
11 30 2015 03 13  -5.9  21.4 85.4
11 30 2015 03 14  -5.9  21.4 85.6
11 30 2015 03 15  -5.9  21.4 85.6
