11 30 2015 01 13  -7.80  17.96 824.04 1022.35 30.19 1709.37
11 30 2015 01 14  -7.70  18.14 824.05 1022.39 30.19 1710.26
11 30 2015 01 15  -7.70  18.14 824.09 1022.36 30.19 1709.57
11 30 2015 01 16  -7.70  18.14 824.15 1022.28 30.19 1708.39
11 30 2015 01 17  -7.70  18.14 824.21 1022.39 30.19 1708.68
11 30 2015 01 18  -7.70  18.14 824.14 1022.31 30.19 1708.68
11 30 2015 01 19  -7.60  18.32 824.03 1022.24 30.19 1709.87
11 30 2015 01 20  -7.60  18.32 823.98 1022.14 30.18 1709.57
11 30 2015 01 21  -7.60  18.32 823.97 1022.10 30.18 1709.37
11 30 2015 01 22  -7.60  18.32 824.03 1022.24 30.19 1709.87
11 30 2015 01 23  -7.60  18.32 824.15 1022.26 30.19 1708.88
11 30 2015 01 24  -7.60  18.32 824.06 1022.19 30.19 1709.18
11 30 2015 01 25  -7.50  18.50 824.03 1022.14 30.18 1709.77
11 30 2015 01 26  -7.50  18.50 824.05 1022.17 30.18 1709.77
11 30 2015 01 27  -7.50  18.50 824.01 1022.21 30.19 1710.46
11 30 2015 01 28  -7.50  18.50 823.99 1022.09 30.18 1709.77
11 30 2015 01 29  -7.50  18.50 824.00 1022.13 30.18 1709.96
11 30 2015 01 30  -7.50  18.50 823.91 1022.06 30.18 1710.26
11 30 2015 01 31  -7.40  18.68 824.08 1022.09 30.18 1709.47
11 30 2015 01 32  -7.40  18.68 824.03 1021.99 30.18 1709.18
11 30 2015 01 33  -7.40  18.68 824.06 1022.05 30.18 1709.37
11 30 2015 01 34  -7.40  18.68 824.08 1022.13 30.18 1709.77
11 30 2015 01 35  -7.40  18.68 823.98 1022.06 30.18 1710.26
11 30 2015 01 36  -7.30  18.86 823.75 1021.70 30.17 1710.26
11 30 2015 01 37  -7.30  18.86 824.02 1022.01 30.18 1710.06
11 30 2015 01 38  -7.30  18.86 824.03 1022.06 30.18 1710.36
11 30 2015 01 39  -7.30  18.86 824.12 1022.08 30.18 1709.67
11 30 2015 01 40  -7.30  18.86 823.95 1021.90 30.18 1709.87
11 30 2015 01 41  -7.30  18.86 824.07 1022.11 30.18 1710.36
11 30 2015 01 42  -7.20  19.04 824.07 1021.98 30.18 1709.96
11 30 2015 01 43  -7.20  19.04 823.82 1021.76 30.17 1710.75
11 30 2015 01 44  -7.20  19.04 824.03 1022.00 30.18 1710.55
11 30 2015 01 45  -7.20  19.04 824.00 1021.99 30.18 1710.75
11 30 2015 01 46  -7.20  19.04 823.81 1021.67 30.17 1710.06
11 30 2015 01 47  -7.20  19.04 824.07 1021.89 30.18 1709.27
11 30 2015 01 48  -7.20  19.04 824.02 1021.91 30.18 1709.96
11 30 2015 01 49  -7.10  19.22 824.16 1021.96 30.18 1709.57
11 30 2015 01 50  -7.10  19.22 824.06 1021.81 30.17 1709.37
11 30 2015 01 51  -7.10  19.22 824.05 1021.84 30.18 1709.77
